question_idx,chinese,pinyin,syllables,audio,correct_tone,user_answer,is_correct,time_seconds,timestamp
1,电脑,diànnǎo,2,10_电脑_43.wav,43,4,False,57.98,2026-02-06 16:49:11
2,心,xīn,1,02_心_1.wav,1,1,True,21.89,2026-02-06 16:49:42
3,车,chē,1,03_车_1.wav,1,12,False,34.68,2026-02-06 16:50:21
4,老师,lǎoshī,2,06_老师_31.wav,31,31,True,47.8,2026-02-06 16:51:27
5,天,tiān,1,01_天_1.wav,1,1,True,26.38,2026-02-06 16:51:57
6,商店,shāngdiàn,2,02_商店_14.wav,14,14,True,35.69,2026-02-06 16:52:37
1,去,qù,1,12_去_4.wav,4,4,True,84.08,2026-02-09 14:24:56
2,学校,xuéxiào,2,05_学校_24.wav,24,23,False,33.08,2026-02-09 14:25:31
3,白,bái,1,06_白_2.wav,2,14,False,56.21,2026-02-09 14:26:30
4,问题,wèntí,2,09_问题_42.wav,42,42,True,30.65,2026-02-09 14:27:05
5,学,xué,1,04_学_2.wav,2,12,False,38.26,2026-02-09 14:27:46
6,中国,zhōngguó,2,01_中国_12.wav,12,12,True,26.82,2026-02-09 14:28:18
1,狗,gǒu,1,09_狗_3.wav,3,3,True,62.89,2026-02-12 13:09:14
2,老师,lǎoshī,2,06_老师_31.wav,31,31,True,37.15,2026-02-12 13:09:53
3,学校,xuéxiào,2,05_学校_24.wav,24,24,True,23.28,2026-02-12 13:10:18
4,美国,měiguó,2,07_美国_32.wav,32,42,False,24.2,2026-02-12 13:10:43
5,学,xué,1,04_学_2.wav,2,2,True,18.53,2026-02-12 13:11:05
6,骂,mà,1,11_骂_4.wav,4,14,False,29.6,2026-02-12 13:11:37
1,问题,wèntí,2,09_问题_42.wav,42,41,False,48.79,2026-02-12 15:12:46
2,人,rén,1,05_人_2.wav,2,12,False,18.82,2026-02-12 15:13:11
3,去,qù,1,12_去_4.wav,4,4,True,12.62,2026-02-12 15:13:26
4,白,bái,1,06_白_2.wav,2,12,False,35.71,2026-02-12 15:14:02
5,牛奶,niúnǎi,2,04_牛奶_23.wav,23,24,False,13.28,2026-02-12 15:14:17
6,明天,míngtiān,2,03_明天_21.wav,21,21,True,13.49,2026-02-12 15:14:33
1,明天,míngtiān,2,03_明天_21.wav,21,1,False,45.42,2026-02-22 11:42:41
2,美国,měiguó,2,07_美国_32.wav,32,1,False,3.83,2026-02-22 11:42:45
3,火,huǒ,1,08_火_3.wav,3,3,True,4.97,2026-02-22 11:43:07
4,白,bái,1,06_白_2.wav,2,2,True,25.17,2026-02-22 11:43:44
5,老师,lǎoshī,2,06_老师_31.wav,31,31,True,8.57,2026-02-22 11:43:53
6,人,rén,1,05_人_2.wav,2,2,True,5.26,2026-02-22 11:44:07
1,after,after,2,6_36_骂_after_sai.m4a,sai,4,False,28.12,2026-02-22 19:46:41
2,天,tiān,2,01_天_1.wav,1,`,False,4.3,2026-02-22 19:46:47
3,天,tiān,2,01_天_1.wav,1,1,True,2.65,2026-02-22 19:46:50
4,before,before,2,6_35_骂_before_sai.m4a,sai,4,False,14.12,2026-02-22 19:47:04
5,before,before,2,1_31_天_before_sai.m4a,sai,1,False,9.39,2026-02-22 19:47:14
6,after,after,2,6_36_骂_after_sai.m4a,sai,1,False,3.44,2026-02-22 19:47:18
